No.,Tanggal Iklan,URL,Harga,Kota,LT (m²),LB (m²),KT,KM,KTP,KMP,Carport,Garasi,Listrik,Surat,Judul,Deskripsi
1,27 September 2019,https://www.rumah123.com/properti/lombok-barat/hos5049423/,Rp. 1.250.000.000,"Batu Layar, Lombok Barat",191,198,5,3,0,0,0,0,0,SHM,Rumah nuansa villa di Meninting,"Rumah nuansa villa di Meninting code : 808 Luas tanah 191 m2 Luas bangunan 198 m2 Lantai 2 Terdiri dari 5 kamar tidur + 3 kamar mandi Ruang tamu, ruang keluarga, dapur. SHM harga Rp 1.25 Milyar More info +6287765435258 / +6282144681128"
2,30 Oktober 2019,https://www.rumah123.com/properti/lombok-barat/hos5224742/,Rp. 990.000.000,"Senggigi, Lombok Barat",150,90,2,1,0,0,0,0,0,SHM,Rumah di Green valley Senggigi,"Rumah di Green valley Senggigi kode: 244 luas tanah 150 m2 Terdiri dari 2 kamar tidur + 1 kamar mandi Ruang tamu, ruang makan, dapur include furniture Harga Rp. 990 Juta"
3,5 November 2019,https://www.rumah123.com/properti/lombok-barat/hos5275684/,Rp. 1.900.000.000,"Senggigi, Lombok Barat",300,100,2,2,0,0,0,0,0,SHM,Villa di stangi dekat pantai,"Villa di stangi dekat pantai code : 247 Luas tanah 300 m2 Terdiri dari 2 kamar tidur+2 kamar mandi Ruang tamu, ruang keluarga, dapur Kolam renang pribadi Sekitar 150 meter dari pantai stangi Harga Rp 1,9 Milyar"
4,13 Februari 2020,https://www.rumah123.com/properti/lombok-barat/hos6118860/,Rp. 370.000.000,"Gunung Sari, Lombok Barat",120,56,2,1,0,0,0,0,1300,SHM,Rumah Cluster Taman Nyiur Gading Sesela Lombok barat R134,"Rumah Cluster Taman Nyiur Gading Sesela Lombok barat HANYA TINGGAL 1 UNIT SAJA!!! Lokasi : Jl. Sesela Raya, Sesela Luas : Bangunan 56 M2 / Tanah 120 M2 Harga : Rp. 370.000.000/global Keterangan : Perumahan dengan sistem cluster 1 pintu, terdiri dari 18 unit rumah. Dengan 2 kamar tidur dan 1 kamar mandi, Carport dengan awning, sudah dipasang teralis, listrik 1.300 watt, PDAM. Kualitas bangunan bagus. Lebar jalan 7 meter. Lokasi dekat dengan Puskesmas, pasar seni dan indomaret. SHM."
5,14 Februari 2020,https://www.rumah123.com/properti/lombok-barat/hos6126128/,Rp. 158.000.000,"Batu Layar, Lombok Barat",70,26,2,1,0,0,0,0,0,SHM,Rumah subsidi Batulayar Lombok barat S004,"Bila saat ini anda sedang atau akan berencana untuk memiliki rumah bersubsidi, menginginkan rumah bersubsidi berkualitas, letaknya mudah dijangkau, dekat dengan pusat kota, bahkan Di dalam kawasan yang tergolong komersil maka yang kami miliki sesuai dengan yang anda inginkan!! Perumahan bersubsidi berkualitas, Hanya 2 menit dari Mataram! Gerbang tepat di pinggir Jalan raya meninting yang merupakan jalur utama menuju kawasan wisata senggigi, Ready Unit dan siap dihuni! Menjadikan perumahan ini pilihan hunian terbaik di kelasnya! Bergabunglah dengan 200 pembeli yang puas dengan pilihan rumah bersubsidi mereka! Pesan sekarang juga, sebelum kehabisan! Tidak perlu booking Fee, langsung DP. Bila tidak lolos Bi checking, DP dipotong 30%. Keterangan : 2 kamar tidur, tidak couple. Perkiraan biaya2 yang timbul mulai booking hingga terima kunci."
6,4 September 2020,https://www.rumah123.com/properti/lombok-barat/hos7260350/,Rp. 416.300.000,"Labuapi, Lombok Barat",102,40,2,1,0,0,1,0,0,SHM,Rumah dan Tanah kavling di Perumahan Griya Taman Sari Labu Api R172,"Rumah dan Tanah kavling di Perumahan Griya Taman Sari Labu Api. Terdiri dari 2 kamar tidur dan 1 kamar mandi. Lokasi strategis, berada di jalur Bypass BIL, dekat ke Mataram sekitar 3 menit dan 10 menit ke kantor pemerintahan. Sistem pembayaran bisa cash, cash bertahap maupun KPR. *Tanah kavling yg bisa dibeli hanya bagian hook saja."
7,16 Oktober 2020,https://www.rumah123.com/properti/lombok-barat/hos7291829/,Rp. 168.000.000,"Labuapi, Lombok Barat",75,28,2,1,0,0,0,0,0,SHM,Rumah subsidi Bale Agung 2 di Kediri Lombok barat S040,"Keterangan :Rumah subsidi Bale Agung 2 Banyumulek Kediri Lombok barat. Terdiri dari 2 kamar tidur dan 1 kamar mandi. Type bangunan single dengan 3 model rumah dan denah. Unit rumah sudah ready siap ditempati. Lokasi strategis, Akses jalan bypass BIL, di depan Puskesmas Banyumulek dengan lebar jalan utama 9 meter. Dilengkapi dengan IMB dan SHM."
8,17 September 2020,https://www.rumah123.com/properti/lombok-barat/hos7324163/,Rp. 375.000.000,"Gunung Sari, Lombok Barat",100,47,2,1,0,0,1,0,1300,SHM,RUMAH ASRI SIAP HUNI,"lokasi berada di daerah aman, dekat dengan daerah wisata senggigi, dekat dengan pusat kota Mataram, tinggal di tempati"
9,16 Oktober 2020,https://www.rumah123.com/properti/lombok-barat/hos7438181/,Rp. 168.000.000,"Kediri, Lombok Barat",75,28,2,1,0,0,0,0,0,SHM,Rumah subsidi Bale Agung 2 di Kediri Lombok barat S040,"Keterangan :Rumah subsidi Bale Agung 2 Banyumulek Kediri Lombok barat. Terdiri dari 2 kamar tidur dan 1 kamar mandi. Type bangunan single dengan 3 model rumah dan denah. Unit rumah sudah ready siap ditempati. Lokasi strategis, Akses jalan bypass BIL, di depan Puskesmas Banyumulek dengan lebar jalan utama 9 meter. Dilengkapi dengan IMB dan SHM."
10,16 Oktober 2020,https://www.rumah123.com/properti/lombok-barat/hos7438487/,Rp. 168.000.000,"Gunung Sari, Lombok Barat",72,30,2,1,0,0,0,0,0,SHM,"Rumah subsidi ""Lilir Rumah Kita"" Gunungsari Lombok barat S041","Rumah subsidi ""Lilir Rumah Kita"" Gunungsari Lombok barat Lokasi : Jl. Kekeri Mambalan Gunung sari Luas : 30/72 M2 Harga : Rp. 168,000,000 Keterangan : Rumah subsidi Lilir Rumah Kita Gunungsari Lombok barat dengan konsep bangunan Villa timur tengah standar Eropa. Terdiri dari 2 kamar tidur, 1 kamar mandi, 1 dapur khusus, halaman depan dan belakang luas. SHM. Proses pembangunan 40 unit, progres sudah mencapai 70%. Total yg akan dibangun 118 unit, dan sudah terbooking 57 unit. Biaya kelebihan tanah Rp. 1,500,000/M2. NB : Kami tidak dapat menjawab pertanyaan melalui marketplace karena keterbatasan waktu tenaga, jika ada pertanyaan silakan WA: 082341777336"
